,city,date_posted,description,employer,type,industry,job_search_key,locality,title,url
0,Melbourne,2017-09-16T14:00:00Z,"About us
Crypton Analytics is a high performing team that is passionate about the power of analytics.This is a rare opportunity to work within an intimate team building predictive models for cryptocurrency markets and sport. 
What's in it for you?
Modern offices based in the heart of Melbourne CBD
Completely flexible hours and working arrangements
An approachable work culture that values work-life balance
Enjoy autonomy in your role as you work through interesting challenges within a brand-new space
Opportunity for growth and professional development 
About the position
Reporting to the Head Data Scientist, you will explore large datasets, discover trends and patterns and extract insights to better assist our clients.
Daily responsibilities include:
Gather and process raw data at scale (including writing systems and scripts, calling APIs, write SQL queries, etc.)
Build solutions to process unstructured data into a form suitable for analysis 
Working with non-traditional data sets, especially those with lexical and non-numeric components.
Using statistical/predictive modelling and machine learning to perform analyses
Presenting findings in an understandable form
Requirements 
Masters or PhD from a statistic, physics, operations research, computer science, applied mathematics or similar mathematical science discipline
Postgraduate and/or real-world experience in cleaning and analysing large data sets
Strong programming capability and proficient in solving problems through programming and simulation
Excellent statistical modelling, predictive modelling, or machine learning skills
Exposure to big data systems and methodologies is a plus but not essential
To express your interest please apply via SEEK.",Crypton Analytics,Full Time,Science & Technology,data-scientist,CBD & Inner Suburbs,Data Scientist (Cryptocurrency),https://www.seek.com.au/job/34374593
1,Melbourne,2017-09-15T05:59:45Z,"Do you have a strong statistical background and the ability to think through problems independently and love talking to people?

My client is seeking a personable data savvy professional to engage with the business and deliver on requirements gathered by providing meaningful business insights from the data analysed. You will deliver on the National Reporting requirements for the business which will help drive innovative change to better service its clients.

What’s in it for you?
Full time permanent opportunity
Salary sacrificing options
CBD location accessible by public transport
Exciting lead role where you can take ownership of your work

Your main duties and Responsibilities:
Creating predictive models on large amounts of data
Analysing complex data sets to determine patterns, predictions and developing reports for internal and external stakeholders
Design, translate and ensure the delivery of data and reporting solutions using different tools and techniques
Programing in R and exploring data using SQL and SPSS
Collaborate and lead internal and external stakeholders for the development and delivery of the organisations Data Solutions
Engage with internal and external stakeholders to ensure buy in and requirements are met.
Proven understanding of data mining, cleansing and evaluation  

To be successful in this role you must have:
Tertiary qualification in IT OR Mathematics or Statistics (Honours of Masters Level is ideal).
Can also be close to completion.
Demonstrated understanding and proven experience on SQL, R and Python.
An added bonus if you have experience on SPSS or SAS
Understanding of Tableau or other data visualisation tools (PowerBI, SSRS)
Independent thinker, solution focused and ability to learn quickly
Excellent communication skills and self-starter

This is a fantastic opportunity if have a strong Senior Data Analyst or Business Intelligence background and want to move into Data Science. You will need to have proven experience with stakeholder engagement. If you fit the above description and are looking for a foot in the door please APPLY NOW and once you have applied call Donna Bowen on 03 9020 1994.

We look forward to your application.
 ",Sirius Technology Melbourne part of Sirius People Pty Ltd,Contract/Temp,Information & Communication Technology,data-scientist,CBD & Inner Suburbs,Data Scientist - Health industry,https://www.seek.com.au/job/34418037
2,Melbourne,2017-09-14T04:15:41Z,"A Melbourne based online retail brand is seeking an experienced Data Scientist with significant Python and R experience.
 
 
THE COMPANY
This is an opportunity to join one of the Australia’s leading online retail brands as a Data Scientist. This organisation prides itself on being data driven, fast paced, nimble and dynamic. The pace of change is quick and good initiatives are implemented fast.
 
THE ROLE
You will be joining a well-established team carrying out predictive analytics, customer segmentation and applying machine learning algorithms aiding in driving sales and increasing profit for the business.
 
 
On a day to day basis you will:
Developing extensive predictive models using R/python in order to discover key insights into customer activity.
Working 'end to end' with complex and unstructured data. You'll be engineering, analysing, developing models and presenting insights to stakeholders.
Exploring large data sets of complex and multi-channel data
Identify further opportunities for the business to improve and deliver recommendations to stakeholders across marketing, sales, digital and product.
 
SKILLS AND EXPERTISE
You will be:
An expert user of R/Python and have exposure to complex data sets
Have prior experience in an online or digital brand (essential)
Experienced in building statistical models from scratch
The ability to interact with and influence stakeholders directly and understand and define complex business problems.
  This is an excellent opportunity to develop your career in an exciting and diverse organisation. You'll be working with industry leading data scientists and cutting edge technologies. If this sounds like your next step please apply with your CV (in word format). Any questions? Please contact Rosie on 99828462.",FourQuarters Recruitment,Full Time,Information & Communication Technology,data-scientist,CBD & Inner Suburbs,Digital Data Scientist,https://www.seek.com.au/job/34405448
3,Melbourne,2017-09-13T23:55:43Z,"Aurec is currently looking to engage an experienced Data Scientist with a technical background for a 3 month rolling contracts.

Start: ASAP
Location: Melbourne CBD/Inner suburbs

In this role you will be working on a POC for an organisation that is relatively new to Analytics, Data Science and its different Machine Learning models. They have large amounts of stored data and traffic and know there are opportunities to get more value from that. However they lack the capabilities and vision to actually get that value.
Things you would be looking to achieve:
Propensity modeling;
Predictive modelling/forecasting;
Customer segmentation;
Determine where the data will need to come from;
Suggest and recommend technologies.
Are you the Data Scientist that doesn't wait for your client to tell you what needs to happen, but rather has the vision and experience to get value out of existing data? Or you simply want to know more? Then hit the apply button or email Rory(at)aurec.com.

Please note: Only those with a relevant background will be contacted.",Aurec,Contract/Temp,Information & Communication Technology,data-scientist,CBD & Inner Suburbs,Data Scientist - Melbourne - Contract,https://www.seek.com.au/job/34401554
4,Melbourne,2017-09-13T07:53:09Z,"Our client is an iconic Australia success story and consistently growing their Big data team and aiming to build a Data sciences practice. They use unique and expansive data to model and predict user behaviour, to enhance marketing efforts and making their customer engagement more meaningful! They strive for a better understanding of their customers which translates into challenges and features that delight them and increased social engagement within their customers.

Here's where you would come in: identify and formalise problems predicting user behaviour. Then create and implement your models to find solutions. Be innovative, be creative, use every bit of that key commodity - Data. Millions of people use our client's products every day, so their data is tremendously rich and they have a lot of it!

The client will rely on you to communicate your findings to your peers - both technical and non-technical. Your solutions will need to be demonstrably impactful and visual. You will work with their Customer services, Marketing, Sales and Products team to put your models into production.

We would like you to be able to:
  Work with large amounts of data
Identify opportunities that would help improve customer experience
Apply predictive modelling techniques for a variety of user modelling tasks
Work closely with Marketing teams to design, test, verify and implement statistical models
Recognize that sometimes (If not most times) the simple solution is the best solution
We are we looking for:
A Bachelor's degree in Computer Science, Math, Statistics, Economics, Astrophysics or other quantitative field; Masters or PhD strongly preferred
At least 2 + years of experience working with some or all of the following: probability, statistics, data mining, predictive modelling, experimental design, computational analytics, econometric modelling
Fluency in SQL
An ability to work independently to get an idea from inception to implementation, including knowledge of techniques for validation and A/B testing
Strong written and oral communication skills
Comfortable working effectively in a fast-paced environment with changing priorities
Comfortable collaborating effectively across departments: engineers, product managers, analysts, business, and marketing functions
Strong business acumen and are results-oriented
A scrappy, action-driven ability to work autonomously
Highly developed skills in data visualization
Comfortable with Hadoop
 
For your hard work and dedication you will be rewarded with an opportunity to be challenged professionally, to work with a dynamic team in a great working environment that encourages work / life balance.
 
To discuss this exciting opportunity apply now or to find out more Michelle Ha on 03 9236 7735
 ",Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Full Time,Science & Technology,data-scientist,,Data Scientist,https://www.seek.com.au/job/34398783
5,Melbourne,2017-09-13T01:01:15Z,"Reporting to the Business Intelligence Manager, this Reporting Analyst will provide a comprehensive analytical/reporting capability and technical expertise. The focus of this role will be to help deliver valuable analytical insights, data, reports and knowledge to facilitate informed decision making.
 
Tableau and Alteryx experience is mandatory for this role

The role will develop a detailed understanding of the activities being performed across a wide variety of contracts – to result in high-quality analysis of performance data.
  
Experience required:  
Minimum of 5+ years of analysis and reporting experience preferably in the telecommunication industry or similar experience in large infrastructure systems  
Tertiary Qualifications or equivalent experience to the position’s requirements.
Very strong analytical skills with the ability to interpret information including demonstrated skills with ability to interrogate, manipulate large data sets
Demonstrated strength in analytical and critical thinking from a business and information systems perspective
Expert in Reporting and dashboard creation using Business Intelligence Tools (Tableau and Alteryx is mandatory)
Experience in gathering and documenting business requirements
Please submit apply online in the first instance to Elin Gill or email egill@launchrecruitment.com.au",Launch Recruitment Pty Ltd,Contract/Temp,Information & Communication Technology,data-scientist,CBD & Inner Suburbs,Data Scientist - Tableau & Alteryx,https://www.seek.com.au/job/34392037
6,Melbourne,2017-09-12T03:01:13Z,"Senior Data Scientist/Data Engineer

An exponentially growing financial services company with multiple industry awards is seeking Senior Data Scientists / Data Engineers to join their team in Melbourne.

They are a collaborative and close knit team of high performing individuals who work hard and celebrate their achievements. You can expect a fast paced, flexible, dynamic and fun environment where if you work hard you will be significantly rewarded.  


What your new role would entail…
Delivery/creation of world-class modelling solutions for digital fraud – preventing incidents and downtime etc.
Consult within the business, gathering requirements from key stakeholders and delivering this to the team.
Report and deliver insights using Tableau for effective visualisation dashboards.
Mine raw, unstructured data from numerous digital sources:
          - Mobile applications and related websites
          - Payment data including payment plans etc.
          - Credit card usage/plans etc.
Proactively perform data exploration on customer behaviour to discover opportunities for increasing sales.
Present your research and insights to all levels of the company, clearly and concisely.
Work on a technical solution that fully incorporates cloud based solutions in AWS.
  
What you will bring... 
PhD or MS degree in Statistics, Mathematics, Computer Science.
Relevant experience with a proven track record of leveraging analytics to drive business improvements.
Strong analytical mindset.
Expert coding skills in python but also relevant experience in R and SQL.
Experience working with cloud based solutions (Ideally AWS).
Experience with Big Data technologies such as Hadoop and Spark
Strong data visualizations skills to convey information and results clearly (Tableau).
Ideally you will have a financial services background.
Experience working with raw, unstructured data.
Ability to work autonomously.
Consultative mindset, confident in delivering to key decision makers.

What's in it for you?

This is a fast growing organisation with lots of career opportunities and the ability to earn an excellent package.

If you believe this role is for you, please apply by sending your CV via the big button below or contact Geraint for a confidential discussion on (03) 8637 7370.",Xpand Group Pty Ltd,Full Time,Science & Technology,data-scientist,CBD & Inner Suburbs,Data Scientist,https://www.seek.com.au/job/34383078
7,Melbourne,2017-09-12T05:00:34Z,"Senior Data Scientist

An exponentially growing financial services company with multiple industry awards is seeking Senior Data Scientists to join their team in Melbourne.

This team is to become the central Data Science hub for the business covering Enterprise Analytics. This will be a global best practice team that will set the strategy moving forward and be the central point for their AI strategy moving forward.

The team is open to application of all levels but you must be a high performer with a keen interest in Machine Learning/AI.



What your new role would entail…
Develop, test and implement statistical and mathematical models, using a variety of rigorous techniques, across multiples business lines
Support, test and develop Machine Learning & Artificial Intelligence capability across the enterprise
Support whole companies Data Science, including segmentation frameworks, lifecycle event triggers, predictive models and advanced analytics
Present insights and learning in a clear way to our executives
Support delivery on strategic agenda
  

What you will bring...
Post Graduate degree in Statistics, Mathematics, Computer Science or similar industry experience
A background in statistical analysis and modelling techniques over large data sets, with proven capability constructing, validating, and implementing models
You're comfortable developing code and performing analysis using common tools such as R / Python
Ability to build appropriate models from scratch and justify the methods and science used
The ability to explain simply how complex models work, and how they can be used in the real world to achieve desired business outcomes
An openness to new ways of thinking and working
  
Discipline experience:
Predictive Modeling
Feature Engineering
Text Mining and Sentiment Analytics
Machine Learning
  
Technical skills:
Hadoop, MapReduce, Hive, Pig, Spark
R, Python,
NoSQL technologies (incl HBase)
Strong SQL skills
 

What's in it for you?
This is a collaborative and close knit team of high performing individuals who work hard and celebrate their achievements. You can expect a fast paced, flexible, dynamic and fun environment where if you work hard you will be significantly rewarded.

If you believe this role is for you, please apply by sending your CV via the big button below or contact Geraint for a confidential discussion on (03) 8637 7370.",Xpand Group Pty Ltd,Full Time,Information & Communication Technology,data-scientist,CBD & Inner Suburbs,Senior Data Scientist,https://www.seek.com.au/job/34384990
8,Melbourne,2017-09-11T07:00:52Z,"Data Scientist required to join a newly creating analytics function within a leading online business. As a Data Scientist, you will be responsible for:
engaging with senior business stakeholders to understand their frustrations and strategic goals
identifying and cleansing data, and drawing out actionable insights
presenting findings and recommendations back to the business
uncovering opportunities to utilise more advancced statistical methods to help the business become more predictive
To be successful for this role, your CV will need to reflect on following skill-set:
Extensive experience working in an innvoative online business
Data mining and modelling experience using one of the mainstream methodologies
Demonstrated experience in requirement gathering, functional scoping and documentation
Experience of R and Python is essential
To express an interest in this role please send through your CV (in Word format) via this advert. For further questions please contact Sabina Ahuja on (03)99828478",FourQuarters Recruitment,Full Time,Information & Communication Technology,data-scientist,,"Data Scientist - R, Python",https://www.seek.com.au/job/34376241
9,Melbourne,2017-09-11T06:36:43Z,"Melbourne CBD
Blue Chip Client
Experienced Data Scientist
Full time career opportunity
RStudio/H2O or Python/SciKit
Data modelling and Data Profiling
ETL/ELT design
Business intelligence tools Tableau and data frameworks
Spark clusters, Hadoop, SAS, ETL, SQL, database programming
Cloud deployment in AWS EC2, EMR, RDS, S3
Attractive salary and employment package
My Client is moving to the Scale phase, in parallel, the telecom industry is going through transformation driven by Network-IT convergence, Virtualisation, Analytics and Machine Learning. As my Client's business scales and accelerates, the challenges become increasingly complex whilst requiring responsive, informed decision-making.
The position of Data Scientist is a key contributor to helping unravel my clients most complex problems which are inevitably multi-variate and ecosystem-wide. You role as a Data Scientist part of the analytics lab, you will be responsible for driving the thinking and communication of how my client use advanced analytics techniques to solve problems in new ways and work closely with business data analysts, subject matter experts and data engineering team to deliver sometimes profound analytical insights in short timeframes.
The ideal person for this role is an experience Data Scientist who is a fast learner and a confident self-starter; naturally curious and passionate about technology, but with varied interests; and an excellent communicator who yearns to work with a small group of skilled practitioners. They earn the respect of their colleagues through their collaborative attitude, open mindset, balanced opinions, big picture perspective, technical proficiency and commitment to getting the job done with the team.
Technical Experience required :-
Applied experience with RStudio/H2O or Python/SciKit, other similar analytics environments
Experience in relational databases, data modelling and Data Profiling
Experience with data acquisition and processing, ETL/ELT design
Experience using business intelligence tools (e.g. Tableau ) and data frameworks
Experience working with Spark clusters, Hadoop, SAS, ETL, SQL, database programming
Experience with cloud deployment in AWS EC2, EMR, RDS, S3
Day to day tasks:-
Collaborate with business stakeholders to understand company needs and business problems and devise potential analytical approaches and solutions
Drive feature engineering and selection in collaboration with business subject matter experts
Support data acquisition activities and preparation, including loading, cleaning, manipulating and exporting
Build and run analytical prototypes to generate actual insights and results
Present results to stakeholders by developing visualisations, presentations and recommendations for action;
Write sustainable, performance and re-useable analytical code / scripts that drive repeatability of results and scalability of our analytics practices
Collaborate with data engineers to prototype and stand-up analytical infrastructure to support problem solving.
  To apply for this role, please provide your resume in our preferred Word or PDF format no larger than 1MB and quote Job Reference: 15664.
For any queries regarding this or other roles, please phone Geoff Tranah on 03 8641 6807.
Thank you for your interest and we will be in touch with those candidates that meet the position requirements and are an Australian Resident.
People from a diverse background are welcome to apply.
For a full listing of positions please visit www.ecareer.com.au
  ecareer employment services
Level 10, 601 Bourke St, Melbourne VIC 3000
Phone: 03 8641 6807",ecareer employment services,Full Time,Science & Technology,data-scientist,CBD & Inner Suburbs,Experienced Data Scientist,https://www.seek.com.au/job/34375806
